model,p_mean,p_hdi_low,p_hdi_high,logit_mean,logit_sd
openai/ft:gpt-4o-2024-08-06:uk-dsit::BG5HnntI,0.17955811257008464,0.14345547556877136,0.22019392251968384,-4.526338,0.33366182
openai/ft:gpt-4o-2024-08-06:uk-dsit::BD7zX89a,0.1754043189836666,0.13909883797168732,0.21415294706821442,-4.613277,0.33282706
openai/gpt-4o-2024-08-06,0.16906075715180485,0.13797827064990997,0.20398879051208496,-4.7471204,0.27726492
openai/ft:gpt-4o-2024-08-06:uk-dsit::BAJFlFSl,0.1668936447473243,0.12829795479774475,0.2090277075767517,-4.804687,0.3999119
openai/ft:gpt-4o-2024-08-06:uk-dsit::BEe45eW4:ckpt-step-30,0.15641704863402991,0.12443920969963074,0.1939515471458435,-5.0374575,0.335656
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDX8G5a4,0.1522888902258128,0.12074816972017288,0.18784791231155396,-5.134421,0.33044484
openai/ft:gpt-4o-2024-08-06:uk-dsit::BCpK2wT6,0.13678513986524193,0.10625302046537399,0.17011085152626038,-5.5238414,0.3458397
openai/ft:gpt-4o-2024-08-06:uk-dsit::B9yxrh0N,0.11409807512536645,0.08269888162612915,0.14901567995548248,-6.1829834,0.44465375
openai/ft:gpt-4o-2024-08-06:uk-dsit::BDF60vZY,0.09952177313202992,0.07151712477207184,0.12851309776306152,-6.6603103,0.38517922
mistralazure/Mistral-Large-2411,0.05860500826174393,0.040548864752054214,0.07583239674568176,-8.539334,0.6143901
gemma/gemma-3-27b-it,0.05466064917575568,0.03749115392565727,0.07104858756065369,-8.763441,0.6053281
azureai/Mistral-Large-2411,0.054093198249582204,0.036768097430467606,0.07226277142763138,-8.798575,0.62676615
mistralazure/Mistral-Large-2411-CAST,0.05200845171115361,0.033812783658504486,0.06851613521575928,-8.9215145,0.61788166
